71.05, 224.96, 0
70.89, 135.95, 0
72.81, 196.96, 0
64.41, 155.02, 0
67.47, 212.75, 0
66.72, 192.36, 0
71.40, 122.18, 0
67.16, 160.64, 0
70.59, 168.28, 0
63.22, 201.65, 0
72.72, 179.65, 0
64.48, 175.08, 0
68.63, 183.44, 0
68.23, 209.79, 0
67.04, 165.03, 0
65.02, 223.37, 0
70.76, 68.04, 0
70.28, 157.12, 0
71.02, 148.80, 0
70.90, 218.63, 0
66.12, 172.56, 0
67.16, 158.06, 0
71.79, 146.53, 0
65.28, 194.66, 0
72.37, 177.38, 0
64.39, 159.85, 0
64.34, 122.72, 0
74.26, 193.37, 0
69.47, 165.52, 0
67.33, 105.39, 0
67.39, 134.66, 0
70.62, 139.57, 0
69.90, 77.62, 0
72.32, 156.37, 0
73.92, 114.35, 0
71.88, 149.61, 0
69.14, 102.60, 0
67.27, 105.39, 0
68.59, 188.66, 0
70.90, 212.62, 0
71.63, 220.15, 0
77.48, 193.96, 0
67.54, 170.47, 0
67.88, 164.57, 0
72.99, 207.29, 0
65.07, 203.30, 0
68.96, 127.12, 0
69.17, 181.90, 0
65.54, 169.01, 0
74.83, 202.84, 0
64.54, 138.05, 0
70.37, 160.57, 0
62.33, 195.77, 0
63.24, 123.50, 0
64.92, 147.45, 0
69.49, 159.36, 0
65.40, 136.66, 0
67.81, 129.55, 0
65.74, 190.71, 0
67.33, 186.44, 0
72.08, 165.51, 0
70.95, 181.49, 0
66.33, 178.57, 0
66.93, 175.40, 0
71.51, 152.82, 0
69.42, 233.24, 0
70.70, 163.68, 0
68.53, 199.51, 0
71.79, 246.02, 0
68.11, 158.89, 0
69.99, 179.01, 0
66.38, 173.18, 0
68.88, 143.57, 0
68.17, 162.69, 0
70.38, 219.68, 0
75.38, 126.38, 0
65.57, 197.50, 0
70.71, 257.30, 0
67.48, 208.70, 0
70.48, 135.49, 0
68.58, 215.85, 0
70.52, 190.28, 0
67.51, 142.65, 0
67.21, 201.49, 0
64.78, 148.66, 0
69.95, 190.64, 0
62.90, 145.57, 0
70.35, 175.59, 0
